time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A1_joint_desired,A1_joint_nominal_velocity,A1_joint_command_velocity,A1_joint_lower_h,A1_joint_upper_h,A2_joint,A2_joint_desired,A2_joint_nominal_velocity,A2_joint_command_velocity,A2_joint_lower_h,A2_joint_upper_h,A3_joint,A3_joint_desired,A3_joint_nominal_velocity,A3_joint_command_velocity,A3_joint_lower_h,A3_joint_upper_h,A4_joint,A4_joint_desired,A4_joint_nominal_velocity,A4_joint_command_velocity,A4_joint_lower_h,A4_joint_upper_h,A5_joint,A5_joint_desired,A5_joint_nominal_velocity,A5_joint_command_velocity,A5_joint_lower_h,A5_joint_upper_h,A6_joint,A6_joint_desired,A6_joint_nominal_velocity,A6_joint_command_velocity,A6_joint_lower_h,A6_joint_upper_h,A7_joint,A7_joint_desired,A7_joint_nominal_velocity,A7_joint_command_velocity,A7_joint_lower_h,A7_joint_upper_h
0.0,1/3 vertical_arm_open_hand,0.4006015570029247,-0.33982255168442355,0.6137722190644191,0.10854215114795981,0.0,-0.0,0,3.355331874533658e-06,0.0,2,288.4,-2.0930483737730918e-06,0.0,-0.0004186096290701227,-0.00041860967475461835,2.899997906951626,1.0000020930483737,1.499999574495598,1.5,3.552713678800501e-15,-8.510088039198327e-05,1.649999574495598,1.640000425504402,2.51288985439637e-06,0.0,0.0005023315548841473,0.0005025779708792739,2.3500025128898545,2.3499974871101457,0.0,-0.0,-0.00020930481453506136,0.0,0.0,2.2,-1.2309659412786126e-09,0.0,0.0,-2.461931882557225e-07,2.349999998769034,2.350000001230966,-6.178426673803762e-07,0.0,0.0,-0.00012356853347607523,1.5699993821573326,1.5700006178426675,-2.292826389257643e-13,0.0,0.0,-4.5856527785152854e-11,1.5699999999997707,1.5700000000002294
0.005,1/3 vertical_arm_open_hand,0.40062245627766524,-0.33982746199741715,0.6137725939273322,0.1085304584986059,-2.168404344971009e-21,0.0,0,0.00011380368289154424,4.336808689942018e-19,2,276.8,-3.774345860917702e-05,-0.00010226331497808676,-0.0071300776080256145,-0.007130082047080786,2.8999622565413907,1.0000377434586092,1.499992326980971,1.5,2.978530817099312e-06,-0.0014495029254401783,1.6499923269809709,1.6400076730190292,4.531434188101153e-05,0.00012271597797370413,0.008556084506989657,0.008560290405323032,2.350045314341881,2.349954685658119,-2.168404344971009e-21,-5.113165748904338e-05,-0.003572364473321013,-4.336808689942018e-19,-2.168404344971009e-21,2.2,-2.219706864382836e-08,0.0,8.616761588950289e-09,-4.193220540509949e-06,2.3499999778029315,2.3500000221970687,-1.1141408918177482e-05,0.0,4.324898671662633e-06,-0.002104713250159421,1.569988858591082,1.5700111414089182,-4.122773603619685e-12,0.0,1.6049784724803501e-12,-7.786981929387842e-10,1.5699999999958774,1.5700000000041228
0.01,1/3 vertical_arm_open_hand,0.4006623397363396,-0.3398368325563343,0.6137733114950564,0.10850814501554848,-2.168404344971009e-21,-2.168404344971009e-21,0,0.00018887574818258335,2.168404344971009e-20,2,253.0,-0.00010577732699404796,-0.00020452662995617353,-0.013606644053949691,-0.013606773676974186,2.899894222673006,1.0001057773269941,1.4999784962264553,1.5,5.3711133206846284e-05,-0.0027661509031466558,1.6499784962264552,1.6400215037735448,0.0001269942777156516,0.00024543195594740826,0.016327817523889634,0.016335987166928013,2.3501269942777157,2.3498730057222845,-2.168404344971009e-21,-0.00010226331497808676,-0.006935424132106965,0.0,-2.168404344971009e-21,2.2,-6.218626812537892e-08,0.0,1.5537948050679853e-07,-7.99783989631011e-06,2.349999937813732,2.3500000621862682,-3.1223998094324246e-05,0.0,7.798986242724237e-05,-0.004016517835229353,1.5699687760019057,1.5700312239980945,-1.1161891346889909e-11,0.0,2.88594152253378e-11,-1.4078235486540445e-09,1.569999999988838,1.570000000011162
0.015,1/3 vertical_arm_open_hand,0.40072054391822165,-0.3398505072343985,0.6137743638420167,0.10847558255593079,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0002327091966666402,2.168404344971009e-20,2,229.6,-0.000205062635325861,-0.00030678994493426025,-0.019856526292827494,-0.01985706166636261,2.899794937364674,1.0002050626353258,1.4999583126455043,1.5,0.00015052641481649864,-0.004036716190188044,1.6499583126455042,1.6400416873544958,0.00024619199994498856,0.0003681479339211123,0.02382740115413344,0.0238395444458674,2.350246191999945,2.349753808000055,-2.168404344971009e-21,-0.00015339497246713013,-0.010298483790892914,0.0,-2.168404344971009e-21,2.2,-1.2048323966364807e-07,0.0,4.353038768776524e-07,-1.1659394307653828e-05,2.3499998795167603,2.35000012048324,-6.0531043620824137e-05,0.0,0.00021856798666026973,-0.0058614091052999785,1.5699394689563793,1.5700605310436209,-2.033045103219039e-11,0.0,7.813323942822937e-11,-1.833711937060096e-09,1.5699999999796697,1.5700000000203305
0.02,1/3 vertical_arm_open_hand,0.40079642909908947,-0.33986833536118727,0.6137757450601442,0.10843312996398649,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0002640662172281062,2.168404344971009e-20,2,232.9,-0.00033450774763817766,-0.00040905325991234706,-0.02588764845207671,-0.025889022462463333,2.8996654922523617,1.0003345077476382,1.4999319985874344,1.5,0.0002918114814736139,-0.005262811613979034,1.6499319985874343,1.6400680014125657,0.00040159446250070594,0.0004908639118948165,0.031064360279614366,0.03108049251114347,2.3504015944625007,2.3495984055374994,-2.168404344971009e-21,-0.00020452662995617353,-0.013661543449678869,0.0,-2.168404344971009e-21,2.2,-1.9637076141314843e-07,0.0,8.433826776455365e-07,-1.5177504349900075e-05,2.3499998036292387,2.3500001963707615,-9.873968833349212e-05,0.0,0.00042371730534576896,-0.007641728942533596,1.5699012603116667,1.5700987396883335,-3.015787568445455e-11,0.0,1.4231315722533274e-10,-1.9654849304528325e-09,1.5699999999698422,1.570000000030158
0.025,1/3 vertical_arm_open_hand,0.40088937843293077,-0.33989017153194273,0.6137774510471943,0.108381133518577,-2.168404344971009e-21,-2.168404344971009e-21,0,0.00031207501343357265,2.168404344971009e-20,2,218.0,-0.0004930599611768752,-0.0005113165748904338,-0.0317076519834624,-0.031710442707739504,2.899506940038823,1.0004930599611768,1.499899768620051,1.5,0.0004760098879625918,-0.0064459934766790145,1.649899768620051,1.640100231379949,0.0005919346016686313,0.0006135798898685206,0.03804788622281063,0.03806802783358506,2.3505919346016686,2.3494080653983316,-2.168404344971009e-21,-0.0002556582874452169,-0.01702460310846482,0.0,-2.168404344971009e-21,2.2,-2.8913097426468756e-07,0.0,1.374595329892039e-06,-1.855204257030782e-05,2.349999710869026,2.3500002891309744,-0.0001455383746693805,0.0,0.0006911778183344449,-0.009359737267177674,1.5698544616253307,1.5701455383746694,-3.876093217684422e-11,0.0,2.1110512979118185e-10,-1.7206112984779336e-09,1.569999999961239,1.570000000038761
0.03,1/3 vertical_arm_open_hand,0.4009987971248541,-0.3399158754234217,0.6137794793131536,0.10831992736625193,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0004051983807432869,2.168404344971009e-20,2,214.8,-0.0006797041096582833,-0.0006135798898685205,-0.03732390580626341,-0.037328829696281624,2.8993202958903415,1.0006797041096582,1.4998618298024906,1.5,0.0007016196596463242,-0.007587763512094869,1.6498618298024905,1.6401381701975095,0.0008159897255860824,0.0007362958678422246,0.044786848429721436,0.044811024783490215,2.3508159897255863,2.349184010274414,-2.168404344971009e-21,-0.00030678994493426025,-0.020387662767250767,0.0,-2.168404344971009e-21,2.2,-3.980465243673685e-07,0.0,2.023916819852813e-06,-2.1783110020536184e-05,2.349999601953476,2.3500003980465243,-0.00020062644919972698,0.0,0.0010187686226856634,-0.011017614906069294,1.5697993735508002,1.5702006264491999,-4.388398161992447e-11,0.0,2.7132652523790956e-10,-1.0246098886160507e-09,1.569999999956116,1.570000000043884
0.035,2/3 raise_arm_pose,0.40112539087224586,-0.33994561210844154,0.6137818529345207,0.10824911843580812,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0005361321682249522,2.168404344971009e-20,2,206.2,-0.0008956432867539928,-0.0007826377406837039,-0.04317985743510656,-0.043187835419141916,2.899104356713246,1.000895643286754,1.499817938420553,1.5,0.0009671913825689326,-0.00877827638750948,1.649817938420553,1.6401820615794471,0.0010751993053753047,0.0009391652888204447,0.05181341536415487,0.051841915957844445,2.3510751993053756,2.3489248006946246,-2.168404344971009e-21,-0.00039131887034185196,-0.023968893101357268,0.0,-2.168404344971009e-21,2.2,-5.236718788103197e-07,0.0,2.7863256705715796e-06,-2.5125070888590243e-05,2.3499994763281213,2.350000523671879,-0.00026435779442698085,0.0,0.0014043851443980887,-0.012746269045450778,1.569735642205573,1.570264357794427,-4.2943155317165056e-11,0.0,3.071878713394713e-10,1.8816526055188362e-10,1.5699999999570569,1.5700000000429433
0.04,2/3 raise_arm_pose,0.401271119975752,-0.33997984117879404,0.6137846211848801,0.10816761235670627,1.5178830414797064e-20,-2.168404344971009e-21,0,0.000686401023841889,-3.447762908503904e-18,2,203.3,-0.001144220472616095,-0.0010852445944653192,-0.04970316481247185,-0.04971543717242041,2.8988557795273837,1.0011442204726162,1.4997674160310417,1.5,0.0012744310561311422,-0.010104477902276445,1.6497674160310416,1.6402325839689584,0.0013735702486298363,0.001302293513358383,0.059640806246072625,0.05967418865090631,2.35137357024863,2.3486264297513704,1.5178830414797064e-20,-0.0005426222972326596,-0.0279863339098749,3.469446951953614e-18,1.5178830414797064e-20,2.2,-6.677675678994636e-07,0.0,3.665703151672238e-06,-2.881913781782878e-05,2.349999332232432,2.350000667767568,-0.000337717533380496,0.0,0.001850504560988866,-0.014671947790703029,1.5696622824666195,1.5703377175333806,-3.2675852620455596e-11,0.0,3.006020872201554e-10,2.053460539341892e-09,1.5699999999673242,1.570000000032676
0.045,2/3 raise_arm_pose,0.40143531929849424,-0.3400184053193693,0.6137877862512495,0.10807578363157097,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0008633357611704878,-1.5178830414797064e-19,2,209.4,-0.0014243001366171448,-0.0013878514482469346,-0.055998006128472395,-0.056015932800209944,2.898575699863383,1.0014243001366172,1.4997104947306483,1.5,0.001628087782709242,-0.011384260078659097,1.6497104947306482,1.6402895052693518,0.001709732149537201,0.0016654217378963213,0.06719406758373321,0.06723238018147293,2.3517097321495375,2.3482902678504627,1.5178830414797064e-20,-0.0006939257241234673,-0.03200377471839253,0.0,1.5178830414797064e-20,2.2,-8.29445236840417e-07,0.0,4.674372975296245e-06,-3.233553378819069e-05,2.349999170554763,2.350000829445237,-0.00042036866853996965,0.0,0.002364022733663472,-0.016530227031894728,1.56957963133146,1.57042036866854,-9.10043131037942e-12,0.0,2.2873096834318916e-10,4.715084262015235e-09,1.5699999999908996,1.5700000000091006
