time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A1_joint_desired,A1_joint_nominal_velocity,A1_joint_command_velocity,A1_joint_lower_h,A1_joint_upper_h,A2_joint,A2_joint_desired,A2_joint_nominal_velocity,A2_joint_command_velocity,A2_joint_lower_h,A2_joint_upper_h,A3_joint,A3_joint_desired,A3_joint_nominal_velocity,A3_joint_command_velocity,A3_joint_lower_h,A3_joint_upper_h,A4_joint,A4_joint_desired,A4_joint_nominal_velocity,A4_joint_command_velocity,A4_joint_lower_h,A4_joint_upper_h,A5_joint,A5_joint_desired,A5_joint_nominal_velocity,A5_joint_command_velocity,A5_joint_lower_h,A5_joint_upper_h,A6_joint,A6_joint_desired,A6_joint_nominal_velocity,A6_joint_command_velocity,A6_joint_lower_h,A6_joint_upper_h,A7_joint,A7_joint_desired,A7_joint_nominal_velocity,A7_joint_command_velocity,A7_joint_lower_h,A7_joint_upper_h
0.0,1/3 vertical_arm_open_hand,0.4006015569857517,-0.33981496447989706,0.6137716779610926,16.390989302257175,2.6354237489192817e-05,-0.0,0,2.6556263083335723e-05,-0.005270847497838563,1,242.6,-2.093048145350614e-06,0.0,-0.0004186096290701227,-0.0004186096290701227,2.8999979069518544,1.0000020930481452,1.5,1.5,3.552713678800501e-15,3.552713678800501e-15,1.65,1.6400000000000001,2.5116577744207365e-06,0.0,0.0005023315548841473,0.0005023315548841473,2.3500025116577743,2.349997488342226,2.6354237489192817e-05,-0.0,0.005270847497838563,0.005270847497838563,2.6354237489192817e-05,2.199973645762511,0.0,0.0,0.0,0.0,2.35,2.35,0.0,0.0,0.0,0.0,1.57,1.57,0.0,0.0,0.0,0.0,1.57,1.57
0.005,1/3 vertical_arm_open_hand,0.4006224557321386,-0.33981008609584934,0.6137713520906208,16.390989302257175,4.387972635600294e-05,2.6354237489192817e-05,0,0.00010992132821035148,-0.0037686401482539523,1,239.7,-3.774343619347347e-05,-0.00010226331497808676,-0.007130077609624572,-0.007130077609624572,2.8999622565638066,1.0000377434361936,1.5,1.5,3.552713678800501e-15,3.552713678800501e-15,1.65,1.6400000000000001,4.529212343216817e-05,0.00012271597797370413,0.008556093131549487,0.008556093131549487,2.3500452921234323,2.349954707876568,4.387972635600294e-05,0.0,0.003505097773362024,0.003505097773362024,4.387972635600294e-05,2.199956120273644,0.0,0.0,0.0,0.0,2.35,2.35,0.0,0.0,0.0,0.0,1.57,1.57,0.0,0.0,0.0,0.0,1.57,1.57
0.01,1/3 vertical_arm_open_hand,0.4006623374578324,-0.33980754353583426,0.6137712146292851,16.390989302257175,5.2885472802213755e-05,4.387972635600294e-05,0,0.0001630664667603196,-0.0022399465528021934,1,245.9,-0.00010577665724777156,-0.00020452662995617353,-0.013606644210859616,-0.013606644210859616,2.899894223342752,1.0001057766572479,1.5,1.5,3.552713678800501e-15,3.552713678800501e-15,1.65,1.6400000000000001,0.00012693198869732588,0.00024543195594740826,0.01632797305303154,0.01632797305303154,2.3501269319886973,2.349873068011303,5.2885472802213755e-05,0.0,0.0018011492892421638,0.0018011492892421638,5.2885472802213755e-05,2.199947114527198,0.0,0.0,0.0,0.0,2.35,2.35,0.0,0.0,0.0,0.0,1.57,1.57,0.0,0.0,0.0,0.0,1.57,1.57
0.015,1/3 vertical_arm_open_hand,0.40072053799407736,-0.3398072550504996,0.6137712627450396,16.390989302257175,5.3669667812546253e-05,5.2885472802213755e-05,0,0.00016772683166243655,-0.0006856937300886367,1,226.2,-0.0002050593121530287,-0.00030678994493426025,-0.01985653098105143,-0.01985653098105143,2.8997949406878467,1.000205059312153,1.5,1.5,3.552713678800501e-15,3.552713678800501e-15,1.65,1.6400000000000001,0.0002460711745836345,0.0003681479339211123,0.02382783717726172,0.02382783717726172,2.350246071174584,2.3497539288254163,5.3669667812546253e-05,0.0,0.0001568390020664992,0.0001568390020664992,5.3669667812546253e-05,2.1999463303321876,0.0,0.0,0.0,0.0,2.35,2.35,0.0,0.0,0.0,0.0,1.57,1.57,0.0,0.0,0.0,0.0,1.57,1.57
0.02,1/3 vertical_arm_open_hand,0.4007964167154909,-0.3398091417938606,0.6137714961424976,16.390989302257175,5.098618442191894e-05,5.3669667812546253e-05,0,0.00012716821893633048,1.0842021724855044e-19,2,303.7,-0.000334498119482009,-0.00040905325991234706,-0.025887671714286537,-0.02588776146579606,2.8996655018805177,1.000334498119482,1.4999981841284866,1.5,3.552713678800501e-15,-0.0003631743026776627,1.6499981841284865,1.6400018158715135,0.00040140192887348617,0.0004908639118948165,0.031065206057143843,0.031066150857970338,2.3504014019288735,2.3495985980711267,5.098618442191894e-05,0.0,-0.0014299204250580182,-0.0005366966781254626,5.098618442191894e-05,2.199949013815578,-4.687652166366987e-09,0.0,0.0,-9.375304332733973e-07,2.349999995312348,2.350000004687652,-2.6366879809994643e-06,0.0,0.0,-0.0005273375961998929,1.569997363312019,1.5700026366879811,-5.543309668880006e-13,0.0,0.0,-1.1086619337760011e-10,1.5699999999994458,1.5700000000005543
0.025,1/3 vertical_arm_open_hand,0.4008893555814681,-0.3398131276668404,0.6137719159058002,16.390989302257175,4.8436875200822996e-05,5.098618442191894e-05,0,5.748330165026846e-05,2.168404344971009e-19,2,350.6,-0.0004930387495369494,-0.0005113165748904338,-0.031707719380555575,-0.031708126010988096,2.899506961250463,1.000493038749537,1.4999932008173145,1.5,1.2711100597195824e-05,-0.0009966622344096043,1.6499932008173144,1.6400067991826857,0.000591661329340253,0.0006135798898685206,0.038049233958201166,0.03805188009335337,2.3505916613293403,2.34940833867066,4.8436875200822996e-05,0.0,-0.002992406103375816,-0.0005098618442191897,4.8436875200822996e-05,2.1999515631247992,-1.7597766575751324e-08,0.0,3.281356516456891e-08,-2.5820228818768675e-06,2.3499999824022337,2.3500000175977664,-9.872573080974182e-06,0.0,1.845681586699625e-05,-0.0014471770199949436,1.569990127426919,1.5700098725730811,-2.0878601033616943e-12,0.0,3.880316768216004e-12,-3.067058272947388e-10,1.5699999999979122,1.570000000002088
0.03,1/3 vertical_arm_open_hand,0.400998758404068,-0.33981913919583157,0.6137725238996651,16.390989302257175,4.601503144078185e-05,4.8436875200822996e-05,0,0.0001160271393275609,-2.168404344971009e-19,2,302.5,-0.0006796639341877241,-0.0006135798898685205,-0.037324054287742894,-0.03732503693015493,2.8993203360658124,1.0006796639341877,1.4999851617458742,1.5,4.759427880229872e-05,-0.0016078142880445007,1.649985161745874,1.640014838254126,0.0008156270054573654,0.0007362958678422246,0.04478876133602008,0.04479313522342248,2.3508156270054577,2.3491843729945425,4.601503144078185e-05,0.0,-0.004555831000880333,-0.00048436875200822977,4.601503144078185e-05,2.1999539849685594,-3.848319689698072e-08,0.0,1.2318436603025928e-07,-4.177086064245879e-06,2.349999961516803,2.350000038483197,-2.1545495275961754e-05,0.0,6.910801156681927e-05,-0.0023345844389975148,1.5699784545047242,1.570021545495276,-4.485468591018299e-12,0.0,1.4615020723531862e-11,-4.79521697531321e-10,1.5699999999955145,1.5700000000044856
0.035,2/3 raise_arm_pose,0.4011253294284292,-0.33982762404668826,0.6137733629522432,16.390989302257175,4.371427986874275e-05,4.601503144078185e-05,0,0.00019258460018268798,2.168404344971009e-19,2,278.4,-0.000895574666069105,-0.0007826377406837039,-0.043180138663400466,-0.04318214637627618,2.8991044253339306,1.000895574666069,1.4999734109164824,1.5,0.00010386777888413683,-0.0023501658783451796,1.6499734109164823,1.6400265890835177,0.0010747394572034094,0.0009391652888204447,0.05181595440505589,0.051822490349208786,2.3510747394572036,2.3489252605427966,4.371427986874275e-05,-1.7573269155513133e-05,-0.006495824630630717,-0.00046015031440781867,4.371427986874275e-05,2.1999562857201314,-6.907584057523321e-08,0.0,2.69382378278865e-07,-6.118528735650499e-06,2.3499999309241595,2.3500000690758407,-3.860798078256903e-05,0.0,0.00015081846693173228,-0.0034124971013214556,1.5699613920192175,1.5700386079807827,-7.739711532693794e-12,0.0,3.1398280137128094e-11,-6.508485883350991e-10,1.5699999999922603,1.5700000000077399
0.04,2/3 raise_arm_pose,0.401271027599541,-0.3398395324689695,0.6137745168981482,16.390989302257175,4.152856587530562e-05,4.371427986874275e-05,0,0.00016381493029995093,-8.131516293641283e-19,2,289.8,-0.0011441120671546263,-0.0010852445944653192,-0.049703645157266066,-0.04970748021710426,2.898855887932845,1.0011441120671547,1.4999565519843332,1.5,0.0001861235846253528,-0.0033717864298262626,1.649956551984333,1.640043448015667,0.0013730073506431164,0.001302293513358383,0.05964402518327589,0.05965357868794141,2.3513730073506434,2.348626992649357,4.152856587530562e-05,-7.028253476892977e-05,-0.009187793492921821,-0.0004371427986874267,4.152856587530562e-05,2.1999584714341247,-1.1302622557230885e-07,0.0,4.835308840266324e-07,-8.790076999415128e-06,2.3499998869737744,2.350000113026226,-6.308755976604131e-05,0.0,0.0002702558654779832,-0.004895915796694456,1.569936912440234,1.570063087559766,-1.1809399382733178e-11,0.0,5.417798072885656e-11,-8.139375700078769e-10,1.5699999999881906,1.5700000000118095
0.045,2/3 raise_arm_pose,0.4014351860376761,-0.3398547446153156,0.6137759899842006,16.390989302257175,3.945213758154033e-05,4.152856587530562e-05,0,0.00020697187702165668,7.589415207398531e-19,2,288.3,-0.0014241379856019018,-0.0013878514482469346,-0.055998764966702676,-0.0560051836894551,2.898575862014398,1.001424137985602,1.4999347644400607,1.5,0.0003041361096686845,-0.004357508854493953,1.6499347644400606,1.6400652355599394,0.001709060502717259,0.0016654217378963213,0.06719800786964025,0.06721063041482853,2.3517090605027176,2.3482909394972826,3.945213758154033e-05,-0.00012299180038234642,-0.01188056761826314,-0.0004152856587530569,3.945213758154033e-05,2.1999605478624185,-1.698568716367864e-07,0.0,7.911835790061619e-07,-1.1366129212895504e-05,2.3499998301431284,2.3500001698568718,-9.472361467125944e-05,0.0,0.0004416129183622892,-0.0063272109810436255,1.5699052763853287,1.5700947236146714,-1.586419840089027e-11,0.0,8.266579567913225e-11,-8.109598036314186e-10,1.5699999999841359,1.5700000000158643
