time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.0,1/3 vertical_arm_open_hand,0.4006015570037242,-0.33982255167316233,0.6137722188957211,0.10854214729485798,-1.046524072675307e-06,0.0,0,3.432854198659285e-06,0.00020930481453506136,0,347.1,-2.093048145350614e-06,1.5,2.5116577744207365e-06,-1.046524072675307e-06,0.0,0.0,0.0
0.005,1/3 vertical_arm_open_hand,0.40062245647436123,-0.33982746179287243,0.6137725909066046,0.10853038898405123,-1.8871718096736736e-05,-1.046524072675307e-06,0,0.00010582046919214359,0.003575504045539039,0,23.1,-3.774343619347347e-05,1.5,4.529212343216817e-05,-1.8871718096736736e-05,0.0,0.0,0.0
0.01,1/3 vertical_arm_open_hand,0.4006623409639959,-0.33983683197517345,0.6137733031434324,0.10850795019415568,-5.288832862388578e-05,-1.8871718096736736e-05,0,0.00016196199747366128,0.006992039286397175,0,20.5,-0.00010577665724777156,1.5,0.00012693198869732588,-5.288832862388578e-05,0.0,0.0,0.0
0.015,1/3 vertical_arm_open_hand,0.400720548031298,-0.3398505060851238,0.6137743479741541,0.10847520495966531,-0.00010252965607651434,-5.288832862388578e-05,0,0.00016685064347471876,0.010457148776764572,0,15.3,-0.0002050593121530287,1.5,0.0002460711745836345,-0.00010252965607651434,0.0,0.0,0.0
0.02,1/3 vertical_arm_open_hand,0.40079643928895853,-0.33986833343768896,0.6137757198627984,0.10843251431766573,-0.0001672488353622307,-0.00010252965607651434,0,0.0001222802580751323,0.013969132417908411,0,14.8,-0.0003344976707244614,1.5,0.00040139720486935375,-0.0001672488353622307,0.0,0.0,0.0
0.025,1/3 vertical_arm_open_hand,0.40088939948987357,-0.33989016860730376,0.6137774151483514,0.10838022675590284,-0.00024651814166687673,-0.0001672488353622307,0,2.998190737392427e-05,0.017526349614551514,0,13.0,-0.0004930362833337535,1.5,0.0005916435400005042,-0.00024651814166687673,0.0,0.0,0.0
0.03,1/3 vertical_arm_open_hand,0.4009988356503762,-0.3399158712438591,0.6137794318426588,0.10831867864587194,-0.00033982832054478985,-0.00024651814166687673,0,0.00010837392984334861,0.0211272171922514,0,17.4,-0.0006796566410895797,1.5,0.0008155879693074958,-0.00033982832054478985,0.0,0.0,0.0
0.035,2/3 raise_arm_pose,0.40112545579426623,-0.3399456063709352,0.6137817934633031,0.1082474751487855,-0.00044777879483250853,-0.00033982832054478985,0,0.0001852023225306836,0.02498837806299164,0,12.7,-0.0008955575896650171,1.5,0.0010746691075980207,-0.00044777879483250853,0.0,0.0,0.0
0.04,2/3 raise_arm_pose,0.4012712234153489,-0.3399798335024431,0.6137845497461486,0.10816551632420998,-0.0005720382065627452,-0.00044777879483250853,0,9.64913569479787e-05,0.029329670294372424,0,14.1,-0.0011440764131254904,1.5,0.0013728916957505889,-0.0005720382065627452,0.0,0.0,0.0
0.045,2/3 raise_arm_pose,0.40143547630976933,-0.3400183952655422,0.6137877037031038,0.10807317948512987,-0.0007120357429250117,-0.0005720382065627452,0,5.940527858260682e-05,0.03371988933808077,0,14.0,-0.0014240714858500235,1.5,0.0017088857830200286,-0.0007120357429250117,0.0,0.0,0.0
