time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.0,1/3 vertical_arm_open_hand,0.4006015570029247,-0.33982255168442355,0.6137722190644191,0.10854215114795981,0.0,0.0,0,3.355331874533658e-06,-0.0,2,6831.0,-2.0930483737730918e-06,1.499999574495598,2.51288985439637e-06,0.0,-1.2309659412786126e-09,-6.178426673803762e-07,-2.292826389257643e-13
0.005,1/3 vertical_arm_open_hand,0.40062245627766524,-0.33982746199741715,0.6137725939273322,0.1085304584986059,-2.168404344971009e-21,0.0,0,0.00011380368289154424,4.336808689942018e-19,2,283.7,-3.774345860917702e-05,1.499992326980971,4.531434188101153e-05,-2.168404344971009e-21,-2.219706864382836e-08,-1.1141408918177482e-05,-4.122773603619685e-12
0.01,1/3 vertical_arm_open_hand,0.4006623397363396,-0.3398368325563343,0.6137733114950564,0.10850814501554848,-2.168404344971009e-21,-2.168404344971009e-21,0,0.00018887574818258335,2.168404344971009e-20,2,319.9,-0.00010577732699404796,1.4999784962264553,0.0001269942777156516,-2.168404344971009e-21,-6.218626812537892e-08,-3.1223998094324246e-05,-1.1161891346889909e-11
0.015,1/3 vertical_arm_open_hand,0.40072054391822165,-0.3398505072343985,0.6137743638420167,0.10847558255593079,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0002327091966666402,2.168404344971009e-20,2,269.2,-0.000205062635325861,1.4999583126455043,0.00024619199994498856,-2.168404344971009e-21,-1.2048323966364807e-07,-6.0531043620824137e-05,-2.033045103219039e-11
0.02,1/3 vertical_arm_open_hand,0.40079642909908947,-0.33986833536118727,0.6137757450601442,0.10843312996398649,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0002640662172281062,2.168404344971009e-20,2,252.6,-0.00033450774763817766,1.4999319985874344,0.00040159446250070594,-2.168404344971009e-21,-1.9637076141314843e-07,-9.873968833349212e-05,-3.015787568445455e-11
0.025,1/3 vertical_arm_open_hand,0.40088937843293077,-0.33989017153194273,0.6137774510471943,0.108381133518577,-2.168404344971009e-21,-2.168404344971009e-21,0,0.00031207501343357265,2.168404344971009e-20,2,251.1,-0.0004930599611768752,1.499899768620051,0.0005919346016686313,-2.168404344971009e-21,-2.8913097426468756e-07,-0.0001455383746693805,-3.876093217684422e-11
0.03,1/3 vertical_arm_open_hand,0.4009987971248541,-0.3399158754234217,0.6137794793131536,0.10831992736625193,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0004051983807432869,2.168404344971009e-20,2,249.8,-0.0006797041096582833,1.4998618298024906,0.0008159897255860824,-2.168404344971009e-21,-3.980465243673685e-07,-0.00020062644919972698,-4.388398161992447e-11
0.035,2/3 raise_arm_pose,0.40112539087224586,-0.33994561210844154,0.6137818529345207,0.10824911843580812,-2.168404344971009e-21,-2.168404344971009e-21,0,0.0005361321682249522,2.168404344971009e-20,2,264.7,-0.0008956432867539928,1.499817938420553,0.0010751993053753047,-2.168404344971009e-21,-5.236718788103197e-07,-0.00026435779442698085,-4.2943155317165056e-11
0.04,2/3 raise_arm_pose,0.401271119975752,-0.33997984117879404,0.6137846211848801,0.10816761235670627,1.5178830414797064e-20,-2.168404344971009e-21,0,0.000686401023841889,-3.447762908503904e-18,2,262.5,-0.001144220472616095,1.4997674160310417,0.0013735702486298363,1.5178830414797064e-20,-6.677675678994636e-07,-0.000337717533380496,-3.2675852620455596e-11
0.045,2/3 raise_arm_pose,0.40143531929849424,-0.3400184053193693,0.6137877862512495,0.10807578363157097,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0008633357611704878,-1.5178830414797064e-19,2,264.7,-0.0014243001366171448,1.4997104947306483,0.001709732149537201,1.5178830414797064e-20,-8.29445236840417e-07,-0.00042036866853996965,-9.10043131037942e-12
0.05,2/3 raise_arm_pose,0.4016173475427542,-0.3400611527091036,0.6137913518943094,0.10797399362073898,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0010515377682696226,-1.5178830414797064e-19,2,265.0,-0.0017347873531951637,1.499647398497972,0.0020823625977856343,1.5178830414797064e-20,-1.0078163276511237e-06,-0.0005119859968262167,3.213989954092069e-11
0.055,2/3 raise_arm_pose,0.40181658638362655,-0.34010793682823925,0.6137953232558455,0.10786259099786402,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0012498343092602806,-1.5178830414797064e-19,2,272.2,-0.0020746263397336596,1.4995783434789385,0.0024901854974937083,1.5178830414797064e-20,-1.2019933140547213e-06,-0.0006122556968188618,9.572603173071437e-11
0.06,2/3 raise_arm_pose,0.4020324396344595,-0.34015861627223976,0.6137997066835221,0.1077419121905385,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0014617446812311204,-1.5178830414797064e-19,2,261.6,-0.0024427990474300927,1.4995035382623016,0.0029319694450530534,1.5178830414797064e-20,-1.4110908168080729e-06,-0.0007208749304204441,1.8661387332972768e-10
0.065,2/3 raise_arm_pose,0.40226433244292287,-0.34021305457214246,0.6138045095715958,0.1076122818063415,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0016920051868166116,-1.5178830414797064e-19,2,266.0,-0.0028383238032207844,1.4994231841455565,0.003406526163816924,1.5178830414797064e-20,-1.6342266094055977e-06,-0.0008375514584613471,3.0998721258089177e-10
